Date,Open,High,Low,Close,Adj Close,Volume
03-02-2014,182.830002,187.899994,181.889999,187.679993,187.679993,8120500
06-02-2014,186.279999,186.559998,182.919998,183.139999,183.139999,5310000
07-02-2014,182.649994,184.940002,182.059998,184.190002,184.190002,5103900
08-02-2014,184.949997,186.490005,182.910004,185.479996,185.479996,5476600
09-02-2014,184.5,185.690002,181.759995,184.979996,184.979996,7189200
10-02-2014,183.419998,187.630005,182.520004,185.539993,185.539993,5797100
13-02-2014,187.169998,192.5,185.679993,191.589996,191.589996,6071400
14-02-2014,191.080002,193.570007,186.100006,191.300003,191.300003,9527100
15-02-2014,191.289993,191.539993,183.259995,184.470001,184.470001,7794400
16-02-2014,177.789993,181.679993,175.139999,179.929993,179.929993,12563800
17-02-2014,180.089996,183.410004,179.360001,182.5,182.5,7418100
21-02-2014,182.649994,184.75,180.580002,182.259995,182.259995,6756500
22-02-2014,181.949997,182.990005,180.289993,180.580002,180.580002,5785400
23-02-2014,179.639999,180.75,176.960007,178.889999,178.889999,5153800
24-02-2014,179.699997,180.740005,178.369995,179.130005,179.130005,3668700
26-02-2014,177.539993,179.190002,176.5,178.529999,178.529999,3706200
27-02-2014,178.899994,184.289993,177.949997,183.800003,183.800003,5764500
     28-02-2014,183.889999,184,179.009995,179.690002,179.690002,5300300
01-03-2014,179.889999,180.490005,176.580002,180.039993,180.039993,4936000
02-03-2014,179.479996,181.839996,178.919998,179.300003,179.300003,3657800
05-03-2014,179,181.820007,178.179993,180.259995,180.259995,4682700
06-03-2014,178.679993,183.5,178.039993,181.089996,181.089996,5612200
07-03-2014,182.649994,185.5,182.399994,183.770004,183.770004,4951500
08-03-2014,184.169998,188.380005,183.800003,187.639999,187.639999,4221500
09-03-2014,186.789993,187.199997,183.440002,184.320007,184.320007,4510600
12-03-2014,184.130005,185.399994,182.199997,183.389999,183.389999,2587600
13-03-2014,183.919998,184.869995,180.770004,184.589996,184.589996,4405800
14-03-2014,183.649994,184.320007,181.139999,182.259995,182.259995,3699700
15-03-2014,182.020004,184.429993,180.300003,184.429993,184.429993,4160100
16-03-2014,183.279999,185.679993,182.350006,185.050003,185.050003,4934000
19-03-2014,183.449997,186.679993,183,185.520004,185.520004,3903400
20-03-2014,184.880005,194.410004,182.880005,192.330002,192.330002,9165400
21-03-2014,192.5,194.279999,191.259995,191.729996,191.729996,4214400
22-03-2014,190.539993,194.059998,190.259995,192.399994,192.399994,3739600
23-03-2014,192.009995,196.199997,191.800003,195.039993,195.039993,5984000
26-03-2014,196.479996,202.970001,195.5,202.869995,202.869995,7613700
27-03-2014,203.589996,209.850006,202.880005,205.440002,205.440002,9600800
28-03-2014,206.139999,207,200.309998,201.160004,201.160004,6245000
29-03-2014,201.279999,205.309998,200.630005,204.610001,204.610001,5711200
30-03-2014,205.020004,206.850006,201.869995,202.509995,202.509995,4438100
02-04-2014,198.020004,199.899994,197,198.050003,198.050003,6430300
03-04-2014,198.240005,202.389999,197.5,199.660004,199.660004,5000700
04-04-2014,196.949997,197.679993,192.360001,193.990005,193.990005,5456900
05-04-2014,193.550003,196.029999,193.550003,194.389999,194.389999,3217500
09-04-2014,192.020004,194.199997,190.5,191.869995,191.869995,3135900
10-04-2014,192.75,193.520004,186.570007,186.979996,186.979996,4455000
11-04-2014,189.630005,191.970001,186.789993,187.970001,187.970001,4337800
12-04-2014,188.059998,192.259995,185.610001,190.690002,190.690002,4027900
13-04-2014,189.899994,189.940002,186.259995,188.460007,188.460007,3431800
16-04-2014,189.009995,189.470001,183.649994,185.5,185.5,4044300
17-04-2014,187.210007,190.039993,186.869995,188.389999,188.389999,2829200
18-04-2014,188.820007,193.449997,188.740005,191.070007,191.070007,4001900
19-04-2014,192.929993,194.550003,189.75,191.100006,191.100006,4002400
20-04-2014,192.339996,193.479996,189.800003,189.979996,189.979996,3243600
23-04-2014,188.990005,188.990005,185.509995,188.240005,188.240005,3481000
24-04-2014,188.679993,190.699997,186.509995,190.330002,190.330002,3376300
25-04-2014,191.669998,194.800003,191.600006,194.419998,194.419998,3955100
26-04-2014,193.570007,196.360001,193.020004,195.990005,195.990005,10234000
27-04-2014,224.830002,228.690002,220.220001,226.850006,226.850006,22116900
30-04-2014,223.949997,233.839996,223.050003,231.899994,231.899994,9756900
01-05-2014,229.399994,232.970001,228.399994,230.039993,230.039993,6754900
02-05-2014,227.820007,231.440002,227.399994,230.25,230.25,4593400
03-05-2014,229.740005,232.529999,228.029999,229.449997,229.449997,4055500
04-05-2014,227.800003,229.720001,223.740005,223.990005,223.990005,4585200
07-05-2014,222.360001,226.869995,222.289993,225.160004,225.160004,3314300
08-05-2014,223.149994,225.389999,218.199997,223.899994,223.899994,4522400
09-05-2014,220.589996,225.779999,220.160004,222.979996,222.979996,3712000
10-05-2014,223.910004,229.080002,221.949997,226.690002,226.690002,4648400
11-05-2014,225.949997,230.679993,225.729996,227.679993,227.679993,4193600
14-05-2014,225.600006,227.289993,222.509995,222.929993,222.929993,3096600
15-05-2014,226.5,230.610001,223,224.389999,224.389999,5713700
16-05-2014,225,228,222.5,224.059998,224.059998,5261800
17-05-2014,225.050003,226,218.089996,218.360001,218.360001,4505500
18-05-2014,219.410004,219.630005,212.809998,213.850006,213.850006,5231700
21-05-2014,214.029999,219.979996,212.820007,218.110001,218.110001,3579800
22-05-2014,218.309998,218.869995,213.960007,215.330002,215.330002,3733100
23-05-2014,214.710007,217.550003,211.179993,217.279999,217.279999,4243800
24-05-2014,216.979996,217.660004,212.699997,215.240005,215.240005,3141100
25-05-2014,214.990005,215.979996,212.220001,212.889999,212.889999,2171400
29-05-2014,214.300003,216.550003,212.289993,214.75,214.75,2693900
30-05-2014,212.139999,212.979996,207.75,209.229996,209.229996,4078200
31-05-2014,209.479996,213.789993,207.110001,212.910004,212.910004,4944000
01-06-2014,208.440002,211.229996,207.300003,208.220001,208.220001,3951500
04-06-2014,207.399994,215.350006,206.369995,214.570007,214.570007,4299600
05-06-2014,213.850006,216.860001,211.160004,213.210007,213.210007,3543900
06-06-2014,214.630005,218.399994,214.520004,217.639999,217.639999,2710100
07-06-2014,219.649994,221.490005,218.110001,218.800003,218.800003,3503900
08-06-2014,218.610001,219.419998,216.660004,218.479996,218.479996,2877000
11-06-2014,217.490005,220.869995,215.199997,216.5,216.5,3749100
12-06-2014,217.649994,218,214.520004,216.419998,216.419998,2833300
13-06-2014,215.520004,217.380005,213.520004,214.729996,214.729996,2325200
14-06-2014,215.259995,216.5,212.559998,214.449997,214.449997,3060900
15-06-2014,215.289993,219.330002,214.460007,218.350006,218.350006,3785200
18-06-2014,217.279999,223.759995,216.729996,222.660004,222.660004,3369600
19-06-2014,223.259995,225.199997,221.660004,224.029999,224.029999,2716600
20-06-2014,224.509995,224.740005,220.839996,223.020004,223.020004,2444400
21-06-2014,223.839996,226.029999,220.520004,220.570007,220.570007,2843000
22-06-2014,221.830002,222.509995,219.350006,222.160004,222.160004,2187500
25-06-2014,220.300003,221.589996,218,220.070007,220.070007,2382300
26-06-2014,221.449997,226.389999,221.449997,225.610001,225.610001,3754100
27-06-2014,225.009995,227.5,223.300003,225.619995,225.619995,2799200
28-06-2014,223.919998,224.619995,218.75,221.309998,221.309998,2994800
29-06-2014,224.699997,228.350006,223.710007,228.350006,228.350006,3614400
02-07-2014,229.300003,229.339996,226.339996,229.320007,229.320007,2330700
03-07-2014,229.139999,229.529999,227.589996,229.529999,229.529999,1331700
05-07-2014,228.619995,230.5,226.529999,227.059998,227.059998,2682300
06-07-2014,226.350006,228.899994,224.179993,225.050003,225.050003,3203200
09-07-2014,225,226,223.449997,225.050003,225.050003,1922000
10-07-2014,226.25,227.139999,218.279999,219.5,219.5,2982100
11-07-2014,218.949997,221.740005,215.339996,218.369995,218.369995,2734700
12-07-2014,216.610001,217.300003,212.610001,215.360001,215.360001,2616200
13-07-2014,215.630005,219.309998,213.880005,218.389999,218.389999,2221900
16-07-2014,216.600006,218.309998,214.460007,216.009995,216.009995,2004200
17-07-2014,217.449997,217.940002,213.960007,216.929993,216.929993,1987000
18-07-2014,216.149994,218.669998,215.710007,217.470001,217.470001,2093000
19-07-2014,220.729996,227.5,220.690002,226.169998,226.169998,5449400
20-07-2014,225.360001,229.389999,225.289993,228.289993,228.289993,4170000
23-07-2014,224.720001,226.580002,221.539993,226.009995,226.009995,5515100
24-07-2014,226.270004,226.610001,221.229996,223.039993,223.039993,5008700
25-07-2014,222,222.5,215.910004,217.050003,217.050003,3646700
26-07-2014,220,221.449997,214.949997,220.009995,220.009995,6937400
27-07-2014,225.25,238.339996,224.5,237.320007,237.320007,11313900
30-07-2014,237,240.740005,234.070007,236.089996,236.089996,3736400
31-07-2014,235.100006,236.300003,231.610001,233.300003,233.300003,3453600
01-08-2014,234.139999,234.380005,230.699997,232.089996,232.089996,2543800
02-08-2014,230.559998,234.339996,228.660004,230.809998,230.809998,3048100
03-08-2014,234.029999,236.490005,233.029999,234.970001,234.970001,2825300
06-08-2014,235.559998,235.740005,233.809998,233.990005,233.990005,1843700
07-08-2014,234.130005,238,233.25,236.559998,236.559998,2058300
08-08-2014,235.289993,236.449997,233.589996,234.380005,234.380005,1534300
09-08-2014,233.929993,235.990005,233.5,234.059998,234.059998,1548100
10-08-2014,233.080002,234.850006,231.429993,232.75,232.75,1852500
13-08-2014,232.229996,234.369995,231,232.440002,232.440002,1997300
14-08-2014,234.710007,236.720001,232.619995,233.190002,233.190002,2751000
15-08-2014,232.259995,238.139999,232.25,237.419998,237.419998,3264700
16-08-2014,237.720001,242.820007,236.199997,241.550003,241.550003,4312100
17-08-2014,240.600006,243.350006,240.470001,241.169998,241.169998,3085800
20-08-2014,241.369995,241.649994,238.199997,240.350006,240.350006,1889900
21-08-2014,240.880005,243.850006,238.550003,239.449997,239.449997,2571500
22-08-2014,239.399994,244.899994,238.800003,243.100006,243.100006,2473700
23-08-2014,242.139999,243.479996,239.020004,241.199997,241.199997,2453900
24-08-2014,241.679993,246.869995,241.360001,245.740005,245.740005,3698800
27-08-2014,245.789993,247.5,243.119995,243.919998,243.919998,2929700
28-08-2014,243.970001,246.779999,243,246.110001,246.110001,2742300
29-08-2014,246.779999,247.610001,244.589996,247.119995,247.119995,1772600
30-08-2014,246.990005,250,245.25,246.220001,246.220001,3647500
31-08-2014,248.070007,249.449997,245.5,248.270004,248.270004,3347500
04-09-2014,248.270004,251,244.660004,247.880005,247.880005,3950800
05-09-2014,247.610001,248.610001,245.300003,246.220001,246.220001,2652600
06-09-2014,248.229996,252.699997,247.199997,251.380005,251.380005,5361400
07-09-2014,253.850006,259.420013,253.520004,259.140015,259.140015,5029500
10-09-2014,259,260,256.820007,257.089996,257.089996,2567200
11-09-2014,257.600006,257.600006,254.259995,255.669998,255.669998,2524800
12-09-2014,256.5,257.779999,253.5,255.630005,255.630005,2273200
13-09-2014,254.940002,262,253.800003,260.23999,260.23999,3525600
14-09-2014,261.399994,264.109985,259.769989,261.269989,261.269989,3666200
17-09-2014,261.25,261.25,257,258,258,2306300
18-09-2014,258.480011,260.5,257,258.75,258.75,2215000
19-09-2014,259.450012,262.839996,258.529999,261.679993,261.679993,2636800
20-09-2014,260.029999,260.869995,258,260.809998,260.809998,2913600
21-09-2014,261.73999,262,256.73999,257.470001,257.470001,6059300
24-09-2014,255.220001,255.600006,253,254.800003,254.800003,2707900
25-09-2014,256.329987,258.950012,251.029999,252.460007,252.460007,4405800
26-09-2014,252.399994,254.610001,248.229996,249.669998,249.669998,2920500
27-09-2014,250.539993,257.399994,250.520004,256.589996,256.589996,3397400
28-09-2014,256.140015,257,253.199997,254.320007,254.320007,2456600
01-10-2014,255.399994,256.160004,250.490005,252.009995,252.009995,2581200
02-10-2014,252.800003,253.149994,249.029999,250.600006,250.600006,2195800
03-10-2014,251.210007,256.100006,249.559998,255.919998,255.919998,2745600
04-10-2014,256.01001,261.519989,255.869995,260.470001,260.470001,2700400
05-10-2014,261.200012,261.899994,257.48999,258.51001,258.51001,2806500
08-10-2014,257.670013,259.799988,255.559998,259.059998,259.059998,1762300
09-10-2014,258.670013,259.350006,250.729996,250.960007,250.960007,3494800
10-10-2014,252,252.460007,244.009995,244.990005,244.990005,3948300
11-10-2014,248,249.300003,241.889999,244.220001,244.220001,3447300
12-10-2014,243.179993,245.460007,241.910004,242.360001,242.360001,2203200
15-10-2014,242.850006,244.779999,238.509995,244.179993,244.179993,2959800
16-10-2014,244.869995,245.770004,242.080002,243.940002,243.940002,2204100
17-10-2014,243.369995,248.800003,243.300003,247.490005,247.490005,3302700
18-10-2014,247.770004,250.910004,242.699997,244.850006,244.850006,5305300
19-10-2014,245.160004,246.820007,238.940002,240,240,4395300
22-10-2014,238.809998,238.949997,232.320007,233.779999,233.779999,4500000
23-10-2014,231.050003,236.5,230.009995,234.309998,234.309998,4430800
24-10-2014,235.880005,235.940002,227.949997,228.490005,228.490005,3678700
25-10-2014,230.919998,230.919998,222.919998,222.919998,222.919998,6741300
26-10-2014,228.600006,238.710007,226.690002,238.240005,238.240005,11367500
31-10-2014,236.320007,238.699997,230.5,232.889999,232.889999,4797600
01-11-2014,234.229996,234.550003,231.339996,232.139999,232.139999,3905100
02-11-2014,234.009995,237.399994,232.110001,232.419998,232.419998,3374700
05-11-2014,232.039993,234.830002,230.110001,234.330002,234.330002,1846100
06-11-2014,235.410004,237.75,234.449997,237.559998,237.559998,2661300
07-11-2014,235.649994,235.660004,229.419998,232.059998,232.059998,3624200
08-11-2014,232.220001,233.449997,227.100006,227.350006,227.350006,2982400
09-11-2014,226.259995,230.970001,224.600006,226.309998,226.309998,3092500
12-11-2014,226.589996,229.220001,225.410004,226.470001,226.470001,2128800
13-11-2014,225.119995,227.899994,224.710007,226.600006,226.600006,2629800
14-11-2014,226.5,227.410004,222.509995,222.949997,222.949997,3034100
15-11-2014,222.300003,225.160004,218.179993,220.600006,220.600006,3404700
16-11-2014,221.309998,226.25,218.639999,225.229996,225.229996,4352800
19-11-2014,228.320007,232.5,227.449997,229.710007,229.710007,3591200
20-11-2014,230,233.820007,229.5,233.779999,233.779999,2771700
21-11-2014,233.839996,238.669998,232.75,238.029999,238.029999,2959300
23-11-2014,239.889999,240,236.479996,239.880005,239.880005,1776800
26-11-2014,240.389999,244.320007,238,243.619995,243.619995,4178300
27-11-2014,243.220001,245.669998,241.539993,243.399994,243.399994,3048500
28-11-2014,242.449997,247.229996,241.5,247.110001,247.110001,2743400
29-11-2014,248.050003,252.479996,247.5,251.270004,251.270004,5310500
30-11-2014,250.380005,252.649994,248.270004,252.050003,252.050003,3797400
03-12-2014,252.539993,254.160004,250,250.330002,250.330002,2990600
04-12-2014,249.940002,253,248.660004,252.490005,252.490005,3114700
05-12-2014,252.440002,255.550003,250.380005,253.960007,253.960007,2852200
06-12-2014,253,255.169998,251.509995,253.369995,253.369995,3557900
07-12-2014,254.139999,255.210007,252.009995,253.270004,253.270004,2170300
10-12-2014,253.100006,254.779999,247.300003,247.770004,247.770004,3503800
11-12-2014,248.5,253.479996,246.649994,250.690002,250.690002,4185200
12-12-2014,251.070007,254.360001,250.059998,251.759995,251.759995,2628100
13-12-2014,251.110001,254.539993,250.020004,251.25,251.25,2460200
14-12-2014,250.110001,251.899994,247.789993,249.190002,249.190002,2526900
17-12-2014,249.809998,254,249.259995,253.860001,253.860001,2277000
18-12-2014,254.570007,263.109985,254.570007,260.399994,260.399994,4961000
19-12-2014,261.299988,261.670013,257.679993,257.98999,257.98999,2300000
20-12-2014,258.359985,262.410004,256.540009,261.5,261.5,2584600
21-12-2014,257.820007,258.380005,255.740005,256.920013,256.920013,4704600
24-12-2014,257.299988,259.5,256.959991,258.619995,258.619995,984400
26-12-2014,257.149994,257.420013,248.039993,248.630005,248.630005,4152700
27-12-2014,248.279999,249.350006,242.860001,248.309998,248.309998,3639300
28-12-2014,245.850006,247.440002,245.050003,245.179993,245.179993,1858700
31-12-2014,243.75,252.410004,242.75,250.869995,250.869995,3419000
02-01-2015,256.079987,258.100006,253.259995,257.309998,257.309998,3271000
03-01-2015,257.269989,260.880005,256.369995,258.480011,258.480011,2750900
04-01-2015,257.579987,259.799988,256.649994,259.149994,259.149994,1874200
07-01-2015,262.970001,269.730011,262.670013,268.459991,268.459991,4910000
08-01-2015,267.070007,268.980011,263.570007,266.380005,266.380005,3010700
09-01-2015,268.170013,269.5,265.399994,266.350006,266.350006,2265600
10-01-2015,268.540009,268.73999,262.299988,265.339996,265.339996,2863400
11-01-2015,265.100006,268.429993,264.109985,267.940002,267.940002,2413300
14-01-2015,268,274.26001,267.540009,272.730011,272.730011,4275000
15-01-2015,270.679993,272.730011,269.299988,271.899994,271.899994,2326900
16-01-2015,270.529999,271.23999,267.829987,268.929993,268.929993,2065600
17-01-2015,271.5,271.970001,269.209991,270.480011,270.480011,1884600
18-01-2015,270.829987,274.5,269.600006,272.119995,272.119995,2942000
22-01-2015,271.619995,272.100006,269.230011,270.190002,270.190002,2137700
23-01-2015,270.570007,271.089996,266.649994,268.109985,268.109985,2508900
24-01-2015,269.369995,276.649994,269.369995,273.459991,273.459991,3417000
25-01-2015,275,284.720001,274.399994,283.98999,283.98999,4968100
28-01-2015,283.779999,284.480011,274.399994,276.040009,276.040009,4321400
29-01-2015,275.350006,275.459991,258.350006,260.350006,260.350006,10172600
30-01-2015,283,284.200012,267.109985,272.76001,272.76001,13075400
31-01-2015,271.040009,275.940002,263.700012,265.5,265.5,6772100
01-02-2015,268.929993,268.929993,262.799988,265,265,6115000
04-02-2015,262.779999,264.679993,259.070007,259.980011,259.980011,3723600
05-02-2015,262,268.029999,261.459991,266.890015,266.890015,4012900
06-02-2015,265.160004,266.890015,261.109985,262.220001,262.220001,2770400
07-02-2015,264.100006,264.100006,255.110001,260.230011,260.230011,3975700
08-02-2015,261.399994,265.25,260.549988,261.950012,261.950012,3879200
11-02-2015,263.200012,263.25,256.600006,257.209991,257.209991,3403700
12-02-2015,259.190002,260.160004,257,258.700012,258.700012,2943700
13-02-2015,261.529999,269.959991,260.299988,269.470001,269.470001,5293000
14-02-2015,267.369995,270.649994,265.399994,269.23999,269.23999,3463000
15-02-2015,267.630005,268.920013,263.109985,265.089996,265.089996,3979900
19-02-2015,265.910004,270.109985,264.5,269.75,269.75,2854200
20-02-2015,270.200012,274.299988,266.369995,266.410004,266.410004,3528900
21-02-2015,265.119995,269.480011,263.25,265.940002,265.940002,3637400
22-02-2015,266.619995,267.109985,261.609985,265.420013,265.420013,3124800
25-02-2015,266.940002,268.690002,259.649994,259.869995,259.869995,3032400
26-02-2015,260.890015,262.040009,255.729996,259.359985,259.359985,3348600
27-02-2015,259.399994,265.829987,256.859985,263.25,263.25,2908100
28-02-2015,261.809998,267,260.630005,264.269989,264.269989,2667200
01-03-2015,263.269989,266.600006,261.040009,265.73999,265.73999,2957000
04-03-2015,265.359985,273.299988,264.140015,273.109985,273.109985,3453000
05-03-2015,274,276.679993,269.98999,275.589996,275.589996,3686200
06-03-2015,275.76001,276.48999,271.829987,273.790009,273.790009,2050700
07-03-2015,274.100006,274.799988,271.850006,273.880005,273.880005,1939000
08-03-2015,275,275.440002,271.5,274.190002,274.190002,1879800
11-03-2015,273.429993,273.98999,270.399994,271.23999,271.23999,1904900
12-03-2015,271,277.399994,270.359985,274.130005,274.130005,3246200
13-03-2015,275.23999,276.5,272.640015,275.100006,275.100006,1884200
14-03-2015,269.670013,270,263.529999,265.73999,265.73999,5226700
15-03-2015,264.980011,267.26001,260.049988,261.820007,261.820007,4865900
18-03-2015,259.299988,261.48999,257.119995,257.890015,257.890015,2720200
19-03-2015,258.399994,259.5,252.619995,256.410004,256.410004,3738500
20-03-2015,258.049988,259.76001,254.550003,257.279999,257.279999,2738900
21-03-2015,256.109985,257,252.679993,253.389999,253.389999,2806400
22-03-2015,254.550003,257.769989,252.070007,257.75,257.75,3124600
25-03-2015,258.579987,259.429993,254.5,256.019989,256.019989,2513900
26-03-2015,257.049988,261.480011,256.279999,260.309998,260.309998,2421000
27-03-2015,258.75,265.929993,257.899994,265.299988,265.299988,2874900
28-03-2015,265.820007,267.380005,264.059998,266.48999,266.48999,2473700
01-04-2015,266.980011,267.399994,261.01001,261.609985,261.609985,2524800
02-04-2015,262.399994,265.890015,260.549988,263.320007,263.320007,2631100
03-04-2015,262.119995,263.670013,257.75,259.029999,259.029999,2413800
04-04-2015,259.230011,260.410004,256.119995,259.079987,259.079987,1964400
05-04-2015,255.720001,256.179993,253.669998,255.479996,255.479996,2557400
08-04-2015,255.919998,259.679993,255.630005,258.950012,258.950012,2295600
09-04-2015,258.850006,262.609985,257,261.140015,261.140015,2156600
10-04-2015,261.779999,265.980011,259.320007,264.769989,264.769989,2322500
11-04-2015,264.73999,270.970001,264.73999,269.850006,269.850006,3090500
12-04-2015,270.119995,273.269989,267.019989,272.869995,272.869995,2866300
15-04-2015,271.079987,275.119995,267.100006,267.720001,267.720001,3326000
16-04-2015,269.309998,272.799988,268.059998,272.339996,272.339996,2137200
17-04-2015,270.799988,270.850006,264.25,267.399994,267.399994,3135100
18-04-2015,266.809998,266.98999,256.600006,259.420013,259.420013,3137600
19-04-2015,258.160004,262.880005,257.5,260.320007,260.320007,2602500
22-04-2015,259.350006,264.600006,258.029999,263.549988,263.549988,2119100
23-04-2015,264.5,269.869995,264.5,268.899994,268.899994,2270600
24-04-2015,269.5,271.470001,266.809998,268.779999,268.779999,1852800
25-04-2015,271.529999,275.799988,270.5,274.700012,274.700012,6116500
26-04-2015,269.970001,272.019989,252.809998,254.809998,254.809998,14030000
29-04-2015,254.899994,257.01001,249.149994,249.740005,249.740005,7117000
30-04-2015,249.369995,254.679993,248.559998,253.809998,253.809998,4248800
01-05-2015,253.899994,254.199997,245.75,248.229996,248.229996,4391400
02-05-2015,248.940002,252.929993,245.779999,252.550003,252.550003,3936200
03-05-2015,256.140015,259.25,254.699997,258.049988,258.049988,3514000
06-05-2015,258.089996,259.5,253.419998,255.720001,255.720001,2347800
07-05-2015,256.309998,259.73999,252.910004,257.730011,257.730011,3133700
08-05-2015,256.869995,260.299988,255.330002,258.679993,258.679993,2677000
09-05-2015,258.730011,263.549988,256.880005,260.160004,260.160004,2769300
10-05-2015,260.880005,263.649994,260.209991,263.630005,263.630005,3145300
13-05-2015,262.769989,265.880005,262,264.51001,264.51001,2149500
14-05-2015,264.5,269.399994,264.029999,268.329987,268.329987,2700000
15-05-2015,267.070007,269.049988,264.559998,266.559998,266.559998,2720500
16-05-2015,265.959991,268.429993,263.850006,264.119995,264.119995,1643500
17-05-2015,265.829987,269.980011,265,269.899994,269.899994,2527300
20-05-2015,269,271.790009,266.5,267.630005,267.630005,2209000
21-05-2015,268.73999,270.769989,267.660004,268.859985,268.859985,1741200
22-05-2015,267.390015,267.589996,260.799988,262.959991,262.959991,3332000
23-05-2015,260.48999,263.170013,259.589996,261.799988,261.799988,2000300
24-05-2015,259.850006,261.929993,258.339996,261.73999,261.73999,1696300
28-05-2015,266.480011,271.100006,266,267.290009,267.290009,3471000
29-05-2015,265.459991,268.25,264.839996,265.529999,265.529999,1903400
30-05-2015,265.709991,268.570007,265.609985,266.829987,266.829987,1667500
31-05-2015,266,271.910004,265.940002,269.200012,269.200012,3374300
03-06-2015,268.959991,269.109985,262.950012,266.880005,266.880005,2543900
04-06-2015,267,268.880005,263.019989,265.700012,265.700012,2088600
05-06-2015,265.809998,271.660004,265.019989,267.170013,267.170013,3512300
06-06-2015,267.75,270.5,264.209991,267.829987,267.829987,2476300
07-06-2015,269.73999,280.100006,269.130005,276.869995,276.869995,4632600
10-06-2015,276.679993,282.470001,275.23999,281.070007,281.070007,3086500
11-06-2015,276,278.410004,274.23999,274.779999,274.779999,3097800
12-06-2015,276.600006,276.799988,270.450012,271.670013,271.670013,2238900
13-06-2015,271.5,276.799988,270.290009,275.790009,275.790009,2649800
14-06-2015,275,277.070007,273.440002,273.98999,273.98999,2150800
17-06-2015,276.350006,280.200012,275.649994,278.059998,278.059998,2884000
18-06-2015,279.079987,282.910004,278.109985,281.76001,281.76001,2146100
19-06-2015,281.26001,283.339996,277.869995,278.160004,278.160004,2827500
20-06-2015,275.140015,278.600006,272.390015,273.440002,273.440002,2984000
21-06-2015,274.570007,275.839996,269.790009,273.359985,273.359985,4201000
24-06-2015,271.290009,273.160004,265,270.609985,270.609985,3863800
25-06-2015,272.299988,273.470001,269,272.089996,272.089996,2449600
26-06-2015,273.980011,277.980011,273.5,277.570007,277.570007,3029500
27-06-2015,279.179993,280.200012,274.540009,277.549988,277.549988,2519500
28-06-2015,276.190002,279.829987,276.190002,277.690002,277.690002,3193300
01-07-2015,279,283.290009,277.160004,282.100006,282.100006,2888200
02-07-2015,281.040009,286.579987,280.589996,283.730011,283.730011,3238200
03-07-2015,282,285.399994,282,284.029999,284.029999,1373000
05-07-2015,285,286.380005,282.070007,285.880005,285.880005,1985400
08-07-2015,286.420013,291.670013,286.140015,290.589996,290.589996,3046700
09-07-2015,291,292.570007,288.01001,291.529999,291.529999,2775600
10-07-2015,291.410004,293.339996,289.399994,292.329987,292.329987,1810200
11-07-2015,294.98999,300.690002,292.100006,299.660004,299.660004,4007300
12-07-2015,298.690002,307.549988,298.5,307.549988,307.549988,4539300
15-07-2015,307.269989,307.98999,304.350006,306.570007,306.570007,2245600
16-07-2015,307.299988,309.390015,305.51001,306.869995,306.869995,2660200
17-07-2015,306.970001,308.799988,305.690002,308.690002,308.690002,2029700
18-07-2015,306.269989,306.339996,301.869995,304.109985,304.109985,3063800
19-07-2015,304.390015,305.790009,301.910004,305.230011,305.230011,2973100
22-07-2015,309.25,309.25,302,303.480011,303.480011,2520700
23-07-2015,303.160004,305.059998,300.559998,301.059998,301.059998,1999600
24-07-2015,303.019989,303.839996,298.040009,298.940002,298.940002,2000500
25-07-2015,299,304.5,296.75,303.399994,303.399994,5405800
26-07-2015,299.549988,313.619995,295.549988,312.01001,312.01001,8817500
29-07-2015,311.070007,313,305.899994,306.100006,306.100006,3211800
30-07-2015,307.720001,309.779999,301.570007,302.410004,302.410004,3053400
31-07-2015,303.910004,305.149994,301,301.220001,301.220001,1891300
01-08-2015,303.079987,306.209991,298.899994,305.570007,305.570007,2971700
02-08-2015,304.630005,305.329987,301.5,304.209991,304.209991,2502600
05-08-2015,303.399994,303.619995,298.299988,300.98999,300.98999,2233200
06-08-2015,300.51001,301.359985,297.519989,300.75,300.75,1849000
07-08-2015,300.149994,300.98999,296.149994,296.910004,296.910004,1961000
08-08-2015,298.519989,298.519989,292.549988,295.73999,295.73999,2343400
09-08-2015,295.679993,299.269989,294.299988,297.26001,297.26001,1950300
12-08-2015,295.790009,299.079987,295.26001,296.690002,296.690002,1504500
13-08-2015,295.880005,296.369995,290.670013,293.970001,293.970001,2349900
14-08-2015,294.290009,294.290009,290.540009,291.339996,291.339996,1415000
15-08-2015,288.790009,289.299988,285.149994,286.470001,286.470001,2261400
16-08-2015,286.549988,288.329987,284.5,284.820007,284.820007,2422500
19-08-2015,285.190002,289.559998,283.480011,285.570007,285.570007,2477400
20-08-2015,285.880005,289.51001,285.73999,287.089996,287.089996,1586300
21-08-2015,285.089996,288.5,283.829987,284.570007,284.570007,1815300
22-08-2015,284.799988,289.869995,284.799988,289.730011,289.730011,1422600
23-08-2015,291.209991,291.5,287.899994,290.01001,290.01001,1961900
26-08-2015,290.429993,291.049988,285.619995,286.209991,286.209991,1711700
27-08-2015,283.869995,285.279999,279.73999,280.929993,280.929993,2476000
28-08-2015,280.359985,283,279.329987,281.579987,281.579987,1457100
29-08-2015,281.450012,285.980011,280,283.980011,283.980011,1566400
30-08-2015,284.589996,284.869995,280,280.980011,280.980011,1534700
03-09-2015,284.730011,291.390015,284.170013,288.799988,288.799988,2897600
04-09-2015,288.329987,295.230011,287.579987,293.640015,293.640015,2438600
